"","ID","factor","taxa","tips","node","clade","other"
"46","dbmean_rha",1,"CANIDAE, MEPHITIDAE, PROCYONIDAE, MUSTELIDAE, URSIDAE, HYAENIDAE, HERPESTIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, ANTILOCAPRIDAE, CERVIDAE, BOVIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE, MORMOOPIDAE, PHYLLOSTOMIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",238,302,329.36,168.2
"47","dbmean_rha",2,"SCIURIDAE",10,551,408.9,127.48
"48","dbmean_rha",3,"RHINOLOPHIDAE, HIPPOSIDERIDAE, PTEROPODIDAE",16,524,135.3,341.68
"49","dbmean_tog",1,"THYLACOMYIDAE, PERAMELIDAE, DASYURIDAE, PHASCOLARCTIDAE, VOMBATIDAE, PHALANGERIDAE, MACROPODIDAE, POTOROIDAE, PSEUDOCHEIRIDAE, PETAURIDAE",26,313,-0.24,19.32
"50","bmean",1,"NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",109,223,0.67,0.37
"51","bmean",2,"RHINOPOMATIDAE, MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",30,378,0.14,0.43
"52","bmean_cov",1,"Scotophilus, Pipistrellus, Nyctalus, Vespertilio, Neoromicia, Ia",12,41,0.31,0.06
"53","bmean_fla",1,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",12,129,0.21,0.09
"54","bmean_fla",2,"VESPERTILIONIDAE",21,88,0.15,0.06
"55","bmean_rha",1,"Lonchophylla, Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Carollia",12,225,0.65,0.97
"56","bmean_rha",2,"Diaemus, Desmodus, Diphylla, Micronycteris, Lonchorhina, Glossophaga, Leptonycteris, Anoura, Trachops, Phyllostomus, Lophostoma, Chrotopterus",17,216,0.87,1
"57","bmax",1,"RHINOPOMATIDAE, MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",30,378,0.32,0.76
"58","bmax",2,"Lonchophylla, Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Rhinophylla, Carollia, Trachops, Phyllostomus, Tonatia, Lophostoma, Chrotopterus",29,339,0.48,0.81
"59","bmax_cov",1,"Scotophilus, Pipistrellus, Nyctalus, Vespertilio, Neoromicia, Ia",12,41,0.32,0.06
"60","bmax_fla",1,"MEGADERMATIDAE, RHINOLOPHIDAE, HIPPOSIDERIDAE",12,129,0.27,0.15
"61","bmax_rha",1,"Lonchophylla, Artibeus, Dermanura, Vampyrodes, Platyrrhinus, Uroderma, Sturnira, Carollia, Trachops, Phyllostomus, Lophostoma, Chrotopterus",17,220,0.83,1
"62","bot",1,"MORMOOPIDAE, PHYLLOSTOMIDAE, NATALIDAE, MOLOSSIDAE, VESPERTILIONIDAE, NYCTERIDAE, EMBALLONURIDAE",153,218,0.24,0.49
"63","bot",2,"Pteropus",14,407,0.24,0.59
"64","bdbmean",1,"RHINOLOPHIDAE",16,381,1063.79,264.85
"65","bdbmean",2,"Eonycteris, Rousettus, Epomops, Epomophorus, Micropteropus, Hypsignathus, Myonycteris, Dobsonia, Eidolon, Pteropus, Acerodon",32,408,60.02,300.96
"66","bdbmean_cov",1,"Pipistrellus, Nyctalus, Vespertilio, Neoromicia, Ia",11,42,165.51,1590.75
