"","ID","factor","taxa","tips","node","clade","other"
"20","cites",20,"EQUIDAE, TAPIRIDAE, RHINOCEROTIDAE, CAMELIDAE, TAYASSUIDAE, SUIDAE, HIPPOPOTAMIDAE, PHYSETERIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, ESCHRICHTIIDAE, BALAENOPTERIDAE, BALAENIDAE",36,1005,4389.52777778312,932.204819277097
"21","cites_cov",1,"CALLITRICHIDAE, CEBIDAE, HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE, LEPORIDAE, SCIURIDAE, DIPODIDAE, CRICETIDAE, MURIDAE",23,174,113560.565821752,4759.38670015861
"22","cites_cov",2,"HYLOBATIDAE, HOMINIDAE, CERCOPITHECIDAE",12,177,14131.3333333334,222028.818182549
"23","cites_cov",3,"MANIDAE, CANIDAE, PHOCIDAE, OTARIIDAE, MUSTELIDAE, URSIDAE, VIVERRIDAE, FELIDAE, EQUIDAE, RHINOCEROTIDAE, CAMELIDAE, SUIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, BOVIDAE",39,102,9081.23076923156,77.3888888888881
"24","cites_cov",4,"CANIDAE, PHOCIDAE, OTARIIDAE, MUSTELIDAE, URSIDAE",14,127,2879.00000000002,12554.4800000007
"25","cites_cov",5,"CAMELIDAE, SUIDAE, INIIDAE, PHOCOENIDAE, MONODONTIDAE, DELPHINIDAE, BOVIDAE",13,106,3963.69230769232,21861.1666666667
"26","cites_cov",6,"RHINOLOPHIDAE, HIPPOSIDERIDAE",16,158,37.6875,109.15000000001
"27","cites_cov",7,"Pipistrellus, Nyctalus, Vespertilio, Neoromicia",10,147,60.9000000002922,157.4
"28","cites_cov",8,"HYLOBATIDAE, HOMINIDAE",4,178,3749,19322.5
"29","cites_cov",9,"HYLOBATIDAE",1,77,43.9999999999995,4984.00000017207
"30","cites_cov",10,"Pongo",1,78,272.000000000001,7340.00000573575
"31","cites_cov",11,"Pan",1,79,11085,3595.00000000001
"32","cites_cov",12,"CANIDAE",3,128,3486.33333333334,2713.36365547181
"33","cites_cov",13,"Vulpes",1,2,6131,2164
"34","cites_cov",14,"Nyctereutes",1,3,841.999999999998,3486
